AAAAUTOCLUB,"Group for drivers"
TAMPERPROOF,"*Impervious to picking, as a lock"
TAMPERPROOF,"Like Tylenol capsules"
TANDEMONRUM,"Team of horses that had too many mai tais?"
TANDOIOVENS,"They're used to cook chicken tikka"
TANGELOTREE,"Certain hybrid manufacturer?"
TANGOINGAPE,"King Kong competing on ""Dancing with the Stars""?"
TANGOTOJAIL,"Monopoly dance card?"
TANGOVICTOR,"Den centerpiece, to a pilot"
TANKWATCHES,"Jewelry sported by oil execs?"
TANYATUCKER,"Her first hit was ""Delta Dawn"""
TANZANIATAN,"East African beachgoer's color?"
TAPECAPCHIP,"Red, white and blue"
TAPEDANCING,"Set the VCR for ""Soul Train""?"
TAPEMEASURE,"Carpenter's gauge?"
TAPEMEASURE,"Not always a substitute for a ruler"
TAPEMEASURE,"Rule that can be bent"
TAPEMEASURE,"Ruler's cousin"
TAPEMEASURE,"Tailor's tool"
TAPEMEASURE,"Tailoring aid"
TAPERINGOFF,"Why is the candlemaker working part-time?"
TAPETRADING,"*Activity for a band's obsessive fans"
TAPONESFEET,"Keep time to the music, in a way"
TARANTOMATO,"Italian veggie?"
TARATANTARA,"Horn blast of old"
TARGETDATES,"Palm harvesters do this"
TARGETFIELD,"Minnesota ballpark opened in 2010"
TARGETPRICE,"Cost at a Walmart competitor?"
TARPRACTICE,"Gob training?"
TARPRACTICE,"Road crew's training?"
TARRYAWHILE,"""Stick around"""
TARTARSAUCE,"It's served with fish sticks"
TARTARSAUCE,"Seafood go-with"
TARTARSTEAK,"Raw meat treat"
TARTREMARKS,"Half-baked criticisms"
TARTREMARKS,"Half-baked criticisms?"
TARTSTEALER,"KNAVE OF HEARTS"
TASKMASTERS,"Hard heads?"
TASKMASTERS,"KMART with hidden ASSETS, at work"
TASKMASTERS,"Tough bosses"
TASTEDEFEAT,"Experience disappointment"
TASTEDEFEAT,"Experience losing"
TASTESGREAT,"""Dee-licious!"""
TASTETESTER,"Coke-vs.-Pepsi guinea pig, e.g."
TASTETESTER,"One taking the Pepsi Challenge"
TASTETESTER,"Sipper, perhaps"
TASTINGMENU,"It has a lot of small dishes"
TATASIRALEC,"Remark from Mrs. Guinness?"
TATECALLERY,"Location of the Turner Wing"
TATEGALLERY,"London art museum, as it was formerly known"
TATEGALLERY,"London art museum: 2 wds."
TATERTAUGHT,"Schooled by a spud?"
TATTEREDTOM,"Horatio Alger's rags-to-riches kid"
TATTERSALLS,"Historic London horse market with a pattern named after it"
TATTOOOTTER,"Draw designs on a playful swimmer?"
TATUMFORNOW,"Actress O'Neal before a name change, like the singular of ""strata""?"
TAUGHTLOOSE,"Wasn't strict in the classroom?"
TAUGHTOLOGY,"Study of education in the past?"
TAURUSPILOT,"Aviator born on May Day? (Ford, Honda)"
TAWNYKITAEN,"Actress/model arrested for spousal abuse in 2002"
TAXABLEGAIN,"Sale result, sometimes"
TAXAUDITION,"Test of a new levy?"
TAXBRACKETS,"Divisions of an I.R.S. table associated with income levels: 2 wds."
TAXBRACKETS,"Punctuation marks on a 1040 form?"
TAXCOMEXICO,"N.A. resort city"
TAXDECTIONN,"Charitable contributions, perhaps"
TAXEDKNIGHT,"Gave Sir Lancelot everything he could handle?"
TAXIDERMIST,"Hazarding a guess: cabbie who gets under your skin?"
TAXIDERMIST,"One involved with turkey stuffing, maybe?"
TAXIDERMIST,"Stuffy fellow?"
TAXIDERMIST,"Tart mixes I'd prepared with stuffing expert? (11)"
TAXIEVASION,"Dodging midtown traffic?"
TAXISERVICE,"Airport-based business, often"
TAXISHELTER,"Hotel awning?"
TAXISTANDUP,"Cabbie's routine?"
TAXPREPARER,"One who gets a lot of return business?"
TAXQUESTION,"Poser for a CPA"
TAXSHELTERS,"Individual retirement accounts, e.g."
TAXSHELTERS,"Real estate assessors do this"
TAYLORADOTS,"Summer dress features"
TAYLORDAYNE,"""I'll Always Love You"" singer"
TAYLORSWIFT,"Country-music superstar"
TAYLORSWIFT,"Country-pop star with the 2008 six-time platinum album ""Fearless"""
TBONESTEAKS,"Cuts of beef"
TBONESTEAKS,"Hearty entrées"
TBONESTEAKS,"Nice cuts"
TBONESTEAKS,"Porterhouse relatives"
TBONESTEAKS,"Rib-eye alternatives"
TBONESTEAKS,"Short loin products"
TBONEWALKER,"Bluesman born May 28, 1910"
TBONEWALKER,"Musician who played for his dinner?"
TCHAIKOVSKY,"""Pathetique"" composer"
TCHAIKOVSKY,"Composer of the ""1812 Overture"""
TCHAIKOVSKY,"Subject of the biopic ""The Music Lovers"""
TEACANISTER,"Its contents may get strained"
TEACEREMONY,"Japanese ritual"
TEACEREMONY,"Japanese serving ritual"
TEACHASKILL,"TRAIN"
TEACHERSPET,"Canine's favorite Doris Day film?"
TEACHERSPET,"Canines' favorite Doris Day film?"
TEACHERSPET,"Clark Gable/Doris Day comedy of 1958"
TEACHERSPET,"Classroom fave"
TEACHERSPET,"Classroom favorite"
TEACHERSPET,"One often called on for answers"
TEACHERSPET,"Student not loved by other students"
TEACHERSPET,"Target of a school bully"
TEACHERSPIT,"Classroom hole?"
TEACHFORTWO,"Tutor twins?"
TEACHSKILLS,"Train"
TEACHUSTHAT,"More of quote"
TEAFORTUBER,"Pekoe-potato trade?"
TEAMCAPTAIN,"Leader in sports or industry"
TEAMCAPTAIN,"Leader on the field"
TEAMMANAGER,"Leader in sports"
TEAMMASCOTS,"Good luck charms, supposedly"
TEAMMONIKER,"""Fighting Irish"" or ""Crimson Tide"""
TEAMSERVICE,"Uniform laundry, locker-room lunch, etc.?"
TEAMWORKISA,"Start of a group member's revelation"
TEARDROPOFF,"Reduction in weeping?"
TEARINGBAGS,"Reducing bulky recyclables?"
TEARJERKERS,"""Ghost"" and ""Bambi,"" for two"
TEARJERKERS,"Extremely sad films"
TEARSAROUND,"Rampages"
TEARSTAINED,"Like the face after a good bawl"
TEASERRATES,"Lenders' lures"
TEASPOONFUL,"Dosage amount, perhaps"
TEASRANGERS,"Actress Leoni's band of forest workers?"
TEASTRAINER,"Device that leaves out leaves"
TEATOTALERS,"Certain caffeine counters?"
TEATROLLEYS,"Pot holders?"
TECHNICOLOR,"Feature of the movies"
TECHSUPPORT,"Computer owner's customer service"
TEDDYTOEDDY,"Toy bear given by a fan of singer Arnold?"
TEDIOUSWORK,"Cause of boredom, perhaps"
TEDWILLIAMS,"""Hitting is 50% above the shoulders."""
TEDWILLIAMS,"1946 AL MVP"
TEDWILLIAMS,"1966 Hall of Fame inductee"
TEDWILLIAMS,"Bosox hero who was the last major leaguer to bat .400 for a season"
TEDWILLIAMS,"Fenway legend who managed the Senators"
TEDWILLIAMS,"Figure 1 (#9)"
TEDWILLIAMS,"Four-time AL home run champ"
TEDWILLIAMS,"Great Red Sox outfielder"
TEDWILLIAMS,"He had a .344 career batting average"
TEDWILLIAMS,"He hit 521"
TEDWILLIAMS,"Red Sox legend who served in the U.S. Marines"
TEDWILLIAMS,"TWO-TIME AL MVP"
TEENPLAYBOY,"Magazine for young rakes?"
TEENYBOPPER,"Adolescent rock fan"
TEENYBOPPER,"Bubblegum music fan"
TEENYBOPPER,"Girl idolizing a pop star, perhaps"
TEENYBOPPER,"Idol worshipper?"
TEENYBOPPER,"Young faddist"
TEENYBOPPER,"Young female rock fan"
TEEOFFTOTAL,"Number of opening swings a golfer needs?"
TEETERBOARD,"Acrobat launcher"
TEETHERBALL,"Tot's plaything?"
TEETOTALERS,"Drys"
TEETOTALING,"Counting the discarded golf props?"
TEETOTALLER,"Counter of golf supporters?"
TEGUCICALPA,"Capital of Honduras"
TEGUCIGALPA,"Capital of Honduras"
TEIPEISEOUL,"Chang Kai-shek to Kimpo flight"
TELECOMMUTE,"Work from home, in a way"
TELEGRAMTAG,"Before phones, was there...?"
TELEKINESIS,"Power to move things by thinking"
TELEKINETIC,"Mentally moving"
TELEPHONERS,"Ring givers"
TELESAVALAS,"Bald actor, combined form?"
TELESAVALAS,"Distant actor?"
TELESCOPIUM,"Constellation (too small for the naked eye?)"
TELETUBBIES,"BBC kids' series"
TELETYPISTS,"Old UPI employees"
TELEXRITTER,"Cowboy communications expert?"
TELEXXERXES,"Obsolescently contact a Persian king?"
TELLERSCAGE,"Withdrawal whereabouts"
TELLERSTORY,"Bank employee's bio?"
TELLITWOMEN,"Feminist guide to public speaking?"
TELLSAPPLES,"Specialties at Wilhelm's fruit stand?"
TELLTHETALE,"Be a raconteur"
TELLYVISION,"What Kojak watches?"
TEMISCAMING,"Western Quebec town"
TEMPERATURE,"How cold or hot it is outside"
TEMPERATURE,"It can rise into the 100's in summer"
TEMPERATURE,"It's freezing when this is lower than 32° Fahrenheit"
TEMPERATURE,"This has risen globally by about 1 degree Fahrenheit in the past century"
TEMPERATURE,"Warmth"
TEMPESTTOST,"*""Send these, the homeless, ___ to me, / I lift my lamp beside the golden door!"" (last lines of ""The New Colossus"")"
TEMPESTUOUS,"Violently stormy"
TEMPINGFATE,"Destiny of a person who can't get a full-time job?"
TEMPLEPILLS,"Md. town where the synagogue dispenses medication?"
TEMPTATIONS,"""Ain't Too Proud to Beg"" singers"
TEMPTRESSES,"Wigs for ad hoc occasions?"
TEMPUSFUGIT,"""How swift the moments fly!"""
TEMPUSFUGIT,"Time flies"
TENAGECRUSH,"PuPPy love"
TENDEDPHLOX,"Did a shepherd's garden chore?"
TENDERCRESS,"Delicate greens?"
TENDERCRESS,"Soft salad green?"
TENDERMERCY,"Feature of the Christian God"
TENDERMOODS,"They're evoked by soft music"
TENDERNAMES,"ENDEARMENTS"
TENDEROFFER,"""Lean on me"""
TENDEROFFER,"Bid from a corporate raider, perhaps"
TENDEROFFER,"Marriage proposal?"
TENDOLLARLL,"Sawbuck"
TENDSTOENDS,"Treats linemen's injuries?"
TENFOOTPOLE,"Proverbial distancer"
TENFOOTPOLE,"Something not to touch with, according to a saying"
TENFOOTPOLE,"What not to touch something with"
TENGALONHAT,"Western wear"
TENNERSACKS,"Bags of Hamiltons to play with?"
TENNESSEANS,"Memphis populace"
TENNISBELOW,"What spectators high up in Ashe Stadium see?"
TENNISCOURT,"Park Place"
TENNISCOURT,"Place for sets and lets"
TENNISCOURT,"Where love is not a good thing"
TENNISCOURT,"Where love is not such a good thing"
TENNISCOURT,"Where love means nothing"
TENNISCOURT,"Wimbledon venue"
TENNISELBOW,"Court woe"
TENNISELBOW,"Inflammation suffered by athletes: 2 wds."
TENNISELBOW,"LBO for Pete Sampras?"
TENNISELBOW,"Racquet malady"
TENNISLOBBY,"Group opposing investigations into the rackets?"
TENNISMATCH,"It starts with love"
TENNISMATCH,"It starts with love and can go back and forth"
TENNISPROSE,"Writings by Venus Williams?"
TENNISSHOES,"Court attire"
TENNISSHOES,"Court wear"
TENNISSHOES,"Present for those who serve"
TENNISSHOES,"Some court attire"
TENNISSHOES,"Wear for those who serve"
TENSEMOMENT,"Pregnant pause, perhaps"
TENSHOOTERS,"Tailor-made weapons?"
TENTDRESSES,"Garments lacking waistlines"
TENTDRESSES,"Outfits without waistlines"
TENTDRESSES,"The circus promoters wore ___"
TENTHINNING,"Tie follower, maybe"
TENTIMESTEN,"100"
TENTPACKING,"Precamping preparation?"
TENURETRACK,"Type of college position"
TENURETRACK,"Where to race for the rest of your life?"
TENYARDGAIN,"FIRST"
TEOTIHUACAN,"Ancient city in central Mexico (c. 200-750) in which the pyramids of the Sun and Moon were built"
TEPRACCIGAM,"Way to go... uphill"
TERESAHEINZ,"She married John Kerry"
TERIHATCHER,"""Lois & Clark"" star"
TERIHATCHER,"Desperate Housewives star"
TERMINALMAN,"Michael Crichton novel (with ""The"")"
TERMINALMAN,"Michael Crichton novel, with ""The"""
TERNMANAGER,"Aviary supervisor?"
TERNONATARN,"Crossworder's bird afloat?"
TERPSICHORE,"Muse of dance"
TERRESTRIAL,"Earthy"
TERRIERTYPE,"BULL"
TERRORFIRMA,"Scary solid ground?"
TERRORTRAIN,"Film starring first names of 21A, 33A and 42A"
TERRYSCLOTH,"Material for Gilliam?"
TERRYTHOMAS,"Gap-toothed British actor"
TERRYTHOMAS,"Gap-toothed British actor with a hyphenated name"
TERRYTHOMAS,"Gap-toothed actor"
TERWILLIGER,"Sideshow Bob's last name on ""The Simpsons"""
TESSELLATES,"Adorns with mosaic"
TESTANDBURN,"Ban names"
TESTFASHION,"Appropriate style of dress for exams?"
TESTMATCHES,"Contests between international teams"
TESTOFWILLS,"Largely psychological battle"
TESTONESMET,"What a New York baseball owner would do to ensure player fitness?"
TESTONIRENE,"Midterm in Dunne 101"
TESTPATTERN,"Arrangement of exams?"
TESTPATTERN,"Early TV transmission"
TESTPATTERN,"National Anthem follower, sometimes"
TESTPATTERN,"Quality-check broadcast"
TESTPATTERN,"Video signal calibration tool"
TESTRESULTS,"What patients may need patience to get"
TESTYMARKET,"Irritable consumers?"
TETHYSSCOPE,"Optical instrument pointed at a moon of Saturn?"
TETONCOUNTY,"Its seat is Jackson, Wyoming"
TETRAHEDRON,"Solid with four triangular faces"
TETRAVALENT,"Like germanium"
TEXASHOLDEM,"""All-in"" card game"
TEXASHOLDEM,"Activity during which the blinds are never lowered"
TEXASHOLDEM,"Most popular game*"
TEXASHOLDEM,"Popular game on TV"
TEXASHOLDEM,"Puzzle theme"
TEXASHOLDEM,"World Series game"
TEXASHOLDEM,"World Series of Poker Main Event game"
TEXASHOLDEM,"World Series of Poker game (and the theme of this puzzle)"
TEXASRANGER,"Arlington pitcher?"
TEXTEDITORS,"Cousins of word processors"
TEXTINGBILL,"Observation: Part 4"
TEXTMESSAGE,"""k ttyl"" e.g."
TEXTMESSAGE,"Bit of chatspeak"
TEXTMESSAGE,"Modern phone display"
TFELOTTHGIR,"Direction for reading Hebrew"
TFELOTTHGIR,"End of the instructions"
TFELOTTHGIR,"Possible title for this puzzle"
THAIBREAKER,"Bangkok wave?"
THAIBREAKER,"Game decider in Bangkok?"
THAICUISINE,"Curry-heavy food"
THAICUISINE,"Dining choice"
THAICUISINE,"It usually includes a fish sauce called nam pla"
THAITAKEOUT,"Hot lunch?"
THANATOPSIS,"William Cullen Bryant poem"
THANKSAHEAP,"Phrase of sarcastic gratitude"
THANKSHANKS,"Mentions a co-star during an acceptance speech?"
THANKSTOYOU,"John Denver song of 1990"
THANRAINING,"Middle of riddle"
THANRAINING,"Riddle, part 2"
THANUNDERIT,"End of the quip"
THATAINTHAY,"""Next year we'll make ten billion, and ___!"""
THATBARNCAT,"Disney farm film?"
THATCHICKEN,"Part 6 of comment"
THATDARNCAT,"1965 Disney movie"
THATDARNCAT,"Film about Garfield?"
THATDOCTORS,"Part 3 of remark"
THATGOTAWAY,"Judy Garland's ""The Man ___"""
THATHISDEAR,"Riddle, part 2"
THATITCOMES,"Part 4 of the quotation"
THATOLDBULL,"Jingle, part 3"
THATPOVERTY,"Quote, part 3"
THATSACROCK,"""Baloney!"""
THATSAFIRST,"""I've never seen its like before!"": 3 wds."
THATSALAUGH,"""Oh, puh-leeze!"""
THATSAMORAY,"Eeler's theme song?"
THATSAMORAY,"End of the song parody"
THATSAMORAY,"Fishy hit for Dean Martin"
THATSBETTER,"""What an improvement!"": 2 wds."
THATSENOUGH,"""Cut it out!"""
THATSENOUGH,"End of quip"
THATSGNEISS,"Geologist's explanation?"
THATSMYMAMA,"Short-lived TV series in which ""Junior""'s catchphrase was ""Ooo-ooo-WHEE!"" (1974-75, 39 episodes)"
THATSNOJOKE,"""I'm serious!"""
THATSOSSNOW,"Blizzard about 30 years ago?"
THATSTOOBAD,"""So sorry"""
THATTEARSIT,"Exasperated cry"
THATTHOUGHT,"""Let me finish"""
THATYOUHAVE,"Middle of the quip"
THATYOULLBE,"Part 3 of remark"
THCNTNNLSTT,"Colorado's nickname"
THCNTNNLSTT,"Colorado's nickname (3,10,5)"
THEACCENTIS,"Start of a quip"
THEADDAMSES,"Morticia, Gomez and family"
THEAGEOFREA,"Paine's son"
THEALPHABET,"Kitchen caution continued"
THEAMERICAS,"Western Hemisphere group"
THEANSWERIS,"""Jeopardy!"" phrase"
THEARMYDOES,"Part 4 of remark"
THEARTOFWAR,"*Military treatise written by Sun Tzu"
THEARTOFWAR,"Book that recommends putting the sun in your opponent's eyes"
THEARTOFWAR,"Classic treatise whose first chapter is ""Laying Plans"""
THEARTOFWAR,"Military treatise by Sun Tzu"
THEARTOFWAR,"Sun Tzu's guide to strategy"
THEARTOFWAR,"Sun-Tzu's classic treatise"
THEASCOFMAN,"Jacob Bronowski book"
THEATERGOER,"FIRST-nighter, e.g."
THEATERTOTS,"*Broadway tykes?"
THEATERTOTS,"Youngsters in a playhouse playpen?"
THEATTORNEY,"Riddle: Part 2"
THEAUDACITY,"""What nerve!"""
THEAVENGERS,"'60s TV series, Mrs. Peel drove Lotus (3,8)"
THEAVENGERS,"Emma Peel's show"
THEAVENGERS,"Mr. Steed and Mrs. Peel"
THEBABYBULL,"ORLANDO CEPEDA'S NICKNAME"
THEBADEARTH,"1931 Buck title?"
THEBADLANDS,"South Dakota attraction"
THEBADSEEDS,"Nick Cave's group"
THEBADSEEDS,"Nick Cave's post-punk group"
THEBANKDICK,"W.C. Fields film"
THEBANKDUCK,"Safe quacker?"
THEBARDWALK,"Where New Jersey's Shakespeare Co. performs?"
THEBASSMENT,"Name for a jazz club?"
THEBEATLESS,"Band without a drummer?"
THEBEHINDAT,"Quote, part 4"
THEBELTHITS,"Breaks a boxing rule"
THEBELTHITS,"Plays dirty, literally"
THEBERYBOYS,"Slip Mahoney's ouchless gang?"
THEBESTSEOW,"""___ in town!"" (theater rave)"
THEBESTTIME,"Part 4 of the quip"
THEBESTTIME,"Start of Evan Esar quip"
THEBETABAND,"Indie/electronica group formed in Edinburgh"
THEBETABAND,"Scottish group that toured with Radiohead in 2001"
THEBIGAPPLE,"Flavorful name for an East coast city"
THEBIGAPPLE,"New York City nickname... and this puzzle's title"
THEBIGAPPLE,"Orchard-owner's gift to Dad?"
THEBIGBLIND,"1999 poker movie shot at Lake Elsinore"
THEBIGBOARD,"New York Stock Exchange, informally: 3 wds."
THEBIGCHILI,"1983 movie cause of heartburn?"
THEBIGCHILL,"1983 film about a reunion"
THEBIGCHILL,"Movie whose soundtrack included lots of '60's hits, or an annual British alternative music festival"
THEBIGDRINK,"The sea, in the vernacular"
THEBIGFIVEO,"Aug. 26, 2002, for ""New York Times"" crossword editor Will Shortz"
THEBIGFIVEO,"Birthday that usually prompts ""Over the Hill"" gags"
THEBIGFIVEO,"Landmark birthday, informally"
THEBIGFLIES,"Observation: Part 3"
THEBIGPEELS,"1939 novel about residue from King Kong's dinner?"
THEBIGPEELS,"Movie about eating a giant orange?"
THEBIGSLEEP,"Bogart film"
THEBIGSLEEP,"Bogart film or Chandler book"
THEBIGSLEEP,"Chandler book"
THEBIGSLEEP,"Chandler's first novel"
THEBIGSLEEP,"Debut of Philip Marlowe"
THEBIGSLEEP,"Raymond Chandler book"
THEBIGSLEET,"Film noir that turns … wintry?"
THEBIGSTEAL,"Base runner's shining moment? (1949)"
THEBIGTHREE,"Chrysler, Ford, and General Motors"
THEBIGTHREE,"They dominate Detroit"
THEBIGTRAIN,"Baseball great Johnson"
THEBIGTRAIN,"Senators great Walter Johnson, to many"
THEBLACKCAT,"1934 Karloff chiller"
THEBLANKETS,"Observation, part three"
THEBLUEGOON,"Sad hoodlum?"
THEBLUELINE,"UN-established Lebanon-Israel demarcation"
THEBLUENILE,"It flows through Ethiopia and Sudan"
THEBOATNIKS,"1970 Morse/Powers movie"
THEBOLDONES,"E.G. Marshall TV oldie"
THEBOLDONES,"Early '70s TV drama series"
THEBOOSTING,"Movie about a promotion?"
THEBOWLWORD,"""Cereal,"" ""spoon"" or ""soup""?"
THEBOXERWAR,"Bout that becomes a big battle?"
THEBOXERWAR,"Prizefight?"
THEBRAINISA,"Start of a quote"
THEBREEDERS,"""Cannonball"" band that starred at Lollapalooza '94"
THEBREEDERS,"Lollapalooza '94 band"
THEBRONXZOO,"Place to find alligators in New York City"
THEBRONXZOO,"Place with bars (but no alcohol) in New York City"
THEBRONXZOO,"Where there's a burro in a borough*"
THEBROTHERS,"""___ Karamazov"""
THEBUMSRUSH,"The NFL linesman was given ___"
THEBUMSRUSH,"The disorderly miner was given ___"
THEBUNILOVE,"Cherished breakfast pastry?"
THECABLEGUY,"1996 Jim Carrey stag movie?"
THECANDYMAN,"1972 Sammy Davis Jr. hit"
THECANDYMAN,"Sammy Davis Jr. hit"
THECATSMEOW,"Kin of the bee's knees"
THECATSMEOW,"Something that's just too cool"
THECATSMEOW,"Something very special"
THECBOUNCED,"Bad news from a bank"
THECEREMONY,"Marriage-day centerpiece"
THECHICAGOL,"Loop looper"
THECHIFFONS,"Group from which George Harrison accidentally borrowed"
THECHILITES,"They hit #1 with ""Oh Girl"""
THECISCOKID,"Diablo?"
THECISCOKID,"Western hero of films and TV"
THECIVILWAR,"csa4ever: we'll cc'd from u / grantzuni0n: oh its on now / 133zarmy: u h4x0red us, we give"
THECLEAVERS,"Ward, June and the kids"
THECOASTERS,"First of two groups that may come in handy for this puzzle?"
THECOLOROFM,"1986 Paul Newman film"
THECORALSEA,"May 1942 battle site"
THECORALSEA,"Where many Aussies boat"
THECOVERSOF,"Scathing review attributed to Ambrose Bierce, part 1"
THECOVERSOF,"Start of a remark by Ambrose Bierce"
THECOVERSOF,"Start of an Ambrose Bierce critique"
THECRUSADES,"Fights with knights"
THECRUSADES,"Their motto was ""Deus lo volt"""
THEDARKAGES,"Unproductive period"
THEDATAGAME,"Statistics?"
THEDEADZINE,"Book about a geeky niche publication whose readership went from 10 to 0?"
THEDEADZONE,"1979 novel, 1983 film and 2002-07 TV series"
THEDEADZONE,"1983 Walken chiller"
THEDEADZONK,"S.K.'s zombie horror?"
THEDESERTOX,"Rommel's famous pet bovine?"
THEDIRTYZEN,"Indecent Buddhism?"
THEDOGATEIT,"Lame reply to ""Where's your homework?"""
THEDOGATEIT,"Student's no-homework excuse"
THEDREAMERS,"Quinn, Crewsdon, Birrell and Dwyer"
THEDRIFTERS,"""This Magic Moment"" group"
THEDRIFTERS,"Ben E. King, Clyde McPhatter, Andrew Thrasher"
THEEARAFTER,"Otologist's heaven?"
THEEARLOFSX,"Robert Devereux (1566-1601)"
THEENVELOPE,"""___, please"" (awards show presenter's request)"
THEENVELOPE,"Quip, part 2"
THEEVILDEAD,"Horror film enjoyed by Turner?"
THEEYESTATE,"Ohio"
THEFATSLANE,"Rich dessert aisle?"
THEFAVORITE,"One that bets are on"
THEFEARTHAT,"Daffy definition, Part 1"
THEFIGCHILL,"Film about a frost in Smyrna?"
THEFIGCHILL,"Movie about refrigerated fruit?"
THEFIREBIRD,"Stravinsky ballet"
THEFIRSTAND,"Part 1 of mystery question"
THEFLABFOUR,"Quartet of couch potatoes?"
THEFOURPOTS,"Levi Stubbs' cookware set?"
THEFOURTOPS,"""I Can't Help Myself"" singers (1965), and hint to puzzle theme found in beginnings of answers to starred clues"
THEFOURTOPS,"Group with an album called 'Indestructible'"
THEFOURWINS,"What victorious World Series players will probably remember most?"
THEFTLOSSES,"Deduction:""I had to sell what I stole below market value, so..."""
THEFUGITIVE,"Ford flick"
THEFUGITIVE,"TV drama featuring Dr. Richard Kimble"
THEFUGITIVE,"Title TV and movie character who sought out the One-Armed Man"
THEFUTUREIS,"Part 3 of the quotation"
THEFUZZYBEE,"Beginning of a tongue twister"
THEGAUNTLET,"Eastwood film"
THEGENEGAME,"Heredity science?"
THEGLASSKEY,"1942 Ladd-Lake drama"
THEGLASSKEY,"LOCKSMITH"
THEGOLDRUSH,"Run on precious metals (starring Charlie Chaplin)"
THEGONGSHOW,"Drummer's favorite TV program?"
THEGONGSHOW,"Tasteless '70s fare"
THEGOODBOOK,"Preacher's text"
THEGOODBOOK,"Required reading at Bible school"
THEGOODLIFE,"Prosperity"
